Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.640,0.640,0.645,0.645,0.640,0.645,0.000,0.039,0.000,0.000,0.026,0.274,0.000,0.267,0.000,0.000,0.167,0.528,0.000,0.068,0.000,0.000,0.044,0.351,0.000,0.150,0.000,0.000,0.099,0.476
ecoli-0_vs_1-5-fold,0.977,0.991,0.973,0.973,0.982,0.973,1.000,1.000,1.000,1.000,1.000,1.000,0.968,0.987,0.961,0.961,0.974,0.961,0.983,0.993,0.980,0.980,0.987,0.980,0.966,0.986,0.959,0.959,0.972,0.959
wisconsin-5-fold,0.968,0.965,0.971,0.971,0.962,0.966,0.962,0.954,0.967,0.967,0.950,0.971,0.947,0.946,0.951,0.951,0.942,0.937,0.954,0.950,0.958,0.958,0.946,0.953,0.967,0.962,0.970,0.970,0.959,0.967
pima-5-fold,0.764,0.764,0.768,0.768,0.764,0.766,0.563,0.559,0.533,0.533,0.563,0.582,0.704,0.706,0.730,0.731,0.704,0.699,0.624,0.623,0.615,0.615,0.625,0.634,0.700,0.698,0.690,0.690,0.700,0.709
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.748,0.771,0.682,0.673,0.762,0.734,0.529,0.614,0.086,0.029,0.586,0.543,0.650,0.665,0.580,0.100,0.655,0.625,0.575,0.633,0.144,0.044,0.614,0.572,0.667,0.717,0.253,0.073,0.701,0.666
yeast1-5-fold,0.741,0.751,0.742,0.741,0.751,0.774,0.175,0.240,0.184,0.177,0.240,0.443,0.747,0.728,0.732,0.731,0.728,0.668,0.281,0.357,0.292,0.283,0.357,0.531,0.412,0.478,0.422,0.414,0.478,0.634
haberman-5-fold,0.729,0.729,0.735,0.735,0.729,0.735,0.025,0.025,0.000,0.000,0.025,0.000,0.150,0.150,0.000,0.000,0.150,0.000,0.042,0.042,0.000,0.000,0.042,0.000,0.098,0.098,0.000,0.000,0.098,0.000
vehicle2-5-fold,0.961,0.966,0.931,0.803,0.960,0.948,0.936,0.931,0.830,0.298,0.927,0.890,0.915,0.936,0.897,0.821,0.919,0.908,0.925,0.933,0.861,0.434,0.922,0.899,0.953,0.954,0.895,0.536,0.949,0.928
vehicle1-5-fold,0.805,0.797,0.762,0.744,0.805,0.800,0.530,0.484,0.092,0.000,0.456,0.446,0.657,0.637,0.879,0.000,0.676,0.664,0.583,0.550,0.162,0.000,0.544,0.527,0.689,0.660,0.294,0.000,0.648,0.635
vehicle3-5-fold,0.797,0.801,0.749,0.749,0.796,0.779,0.509,0.490,0.000,0.000,0.443,0.307,0.617,0.632,0.000,0.000,0.630,0.620,0.555,0.551,0.000,0.000,0.519,0.409,0.672,0.664,0.000,0.000,0.635,0.535
glass-0-1-2-3_vs_4-5-6-5-fold,0.935,0.925,0.925,0.897,0.935,0.930,0.845,0.805,0.767,0.767,0.845,0.784,0.876,0.873,0.901,0.823,0.882,0.925,0.855,0.833,0.821,0.778,0.857,0.842,0.898,0.878,0.859,0.843,0.900,0.873
vehicle0-5-fold,0.966,0.966,0.957,0.901,0.965,0.965,0.920,0.945,0.909,0.648,0.935,0.950,0.937,0.917,0.913,0.911,0.920,0.906,0.927,0.929,0.910,0.753,0.926,0.927,0.949,0.958,0.940,0.795,0.954,0.959
ecoli1-5-fold,0.875,0.896,0.884,0.878,0.881,0.893,0.716,0.742,0.690,0.690,0.729,0.716,0.757,0.800,0.794,0.776,0.766,0.804,0.729,0.767,0.735,0.726,0.741,0.754,0.811,0.835,0.805,0.802,0.820,0.821
new-thyroid1-5-fold,0.991,0.981,0.926,0.926,0.991,0.981,0.971,0.943,0.543,0.543,0.971,0.971,0.975,0.950,1.000,1.000,0.975,0.925,0.971,0.943,0.690,0.690,0.971,0.945,0.982,0.965,0.729,0.729,0.982,0.977
ecoli2-5-fold,0.899,0.905,0.911,0.911,0.908,0.905,0.498,0.615,0.576,0.558,0.615,0.615,0.778,0.727,0.793,0.814,0.741,0.742,0.603,0.665,0.666,0.659,0.671,0.668,0.695,0.765,0.747,0.737,0.766,0.766
segment0-5-fold,0.996,0.997,0.996,0.997,0.997,0.994,0.988,0.985,0.979,0.985,0.985,0.982,0.986,0.994,0.994,0.997,0.997,0.973,0.986,0.989,0.986,0.991,0.991,0.977,0.993,0.992,0.989,0.992,0.992,0.989
glass6-5-fold,0.958,0.939,0.953,0.958,0.939,0.967,0.867,0.720,0.767,0.753,0.720,0.867,0.843,0.813,0.887,0.927,0.813,0.893,0.851,0.760,0.818,0.822,0.760,0.879,0.918,0.835,0.866,0.859,0.835,0.921
yeast3-5-fold,0.916,0.948,0.933,0.915,0.948,0.933,0.264,0.705,0.471,0.258,0.705,0.582,0.906,0.801,0.850,0.902,0.801,0.761,0.401,0.746,0.598,0.394,0.746,0.654,0.506,0.827,0.677,0.501,0.827,0.751
ecoli3-5-fold,0.896,0.928,0.896,0.896,0.925,0.923,0.000,0.629,0.000,0.000,0.571,0.486,0.000,0.654,0.000,0.000,0.648,0.703,0.000,0.635,0.000,0.000,0.602,0.561,0.000,0.767,0.000,0.000,0.731,0.680
page-blocks0-5-fold,0.946,0.952,0.935,0.935,0.952,0.951,0.676,0.633,0.402,0.395,0.637,0.621,0.774,0.861,0.920,0.926,0.862,0.863,0.721,0.729,0.553,0.547,0.732,0.721,0.813,0.791,0.629,0.624,0.793,0.783
ecoli-0-3-4_vs_5-5-fold,0.950,0.950,0.965,0.965,0.955,0.950,0.750,0.750,0.700,0.700,0.750,0.800,0.773,0.753,0.933,0.933,0.787,0.760,0.752,0.741,0.766,0.766,0.756,0.769,0.845,0.844,0.813,0.813,0.846,0.874
yeast-2_vs_4-5-fold,0.934,0.951,0.944,0.934,0.951,0.955,0.338,0.649,0.456,0.338,0.649,0.647,1.000,0.845,0.975,1.000,0.845,0.878,0.467,0.722,0.588,0.467,0.722,0.740,0.546,0.796,0.655,0.546,0.796,0.799
ecoli-0-6-7_vs_3-5-5-fold,0.955,0.960,0.919,0.915,0.955,0.951,0.720,0.720,0.200,0.150,0.680,0.680,0.670,0.710,0.400,0.200,0.720,0.653,0.689,0.711,0.251,0.171,0.670,0.656,0.748,0.750,0.273,0.173,0.721,0.720
ecoli-0-2-3-4_vs_5-5-fold,0.960,0.965,0.970,0.970,0.965,0.950,0.750,0.750,0.700,0.700,0.750,0.700,0.833,0.883,1.000,1.000,0.883,0.777,0.786,0.807,0.810,0.810,0.807,0.728,0.854,0.857,0.829,0.829,0.857,0.820
glass-0-1-5_vs_2-5-fold,0.901,0.901,0.901,0.901,0.901,0.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yeast-0-3-5-9_vs_7-8-5-fold,0.917,0.917,0.917,0.917,0.917,0.917,0.220,0.220,0.220,0.220,0.220,0.220,0.833,0.833,0.833,0.833,0.833,0.833,0.336,0.336,0.336,0.336,0.336,0.336,0.460,0.460,0.460,0.460,0.460,0.460
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.907,0.920,0.907,0.907,0.905,0.910,0.102,0.243,0.102,0.102,0.091,0.153,0.727,0.830,0.727,0.727,0.660,0.727,0.173,0.374,0.173,0.173,0.155,0.242,0.302,0.490,0.302,0.302,0.288,0.370
ecoli-0-4-6_vs_5-5-fold,0.966,0.966,0.966,0.966,0.966,0.951,0.750,0.750,0.700,0.700,0.750,0.700,0.893,0.893,0.900,0.900,0.893,0.783,0.806,0.806,0.781,0.781,0.806,0.720,0.856,0.856,0.818,0.818,0.856,0.810
ecoli-0-1_vs_2-3-5-5-fold,0.955,0.951,0.967,0.967,0.951,0.955,0.690,0.650,0.650,0.650,0.650,0.650,0.876,0.876,1.000,1.000,0.876,0.827,0.706,0.659,0.724,0.724,0.659,0.675,0.797,0.760,0.768,0.768,0.760,0.763
ecoli-0-2-6-7_vs_3-5-5-fold,0.969,0.964,0.924,0.924,0.969,0.951,0.710,0.670,0.250,0.250,0.710,0.710,0.950,0.950,0.600,0.600,0.950,0.793,0.794,0.767,0.347,0.347,0.794,0.728,0.833,0.809,0.383,0.383,0.833,0.824
